Topic,Count,Name,Representation,MMR,Representative_Docs
12,36,12_требуем_исходящее_письмо_партию,"['требуем', 'исходящее', 'письмо', 'партию', 'подшипников', 'заменить', 'металл', 'мм', 'ооо', 'поставщику']","['ооо металл', 'ооо', 'металл', 'мм', 'исходящее письмо', 'исходящее', 'письмо', 'руководителю ооо', 'требуем', 'письмо руководителю', 'руководителю', 'партию', 'уведомляем', 'поставки', 'адрес ооо', 'поставка направляем', 'мм требуем', 'претензию по', 'круга', 'претензию', 'поставка', 'акт', 'проката', 'листового проката', 'листового', 'заменить партию', 'некондиционном', 'марка мм', 'ржавого', 'ржавого листового']","[""ИСХОДЯЩЕЕ ПИСЬМО. В адрес ООО 'Металл-Поставка'. Направляем претензию по факту поставки ржавого листового проката (марка ст3, 10 мм). Требуем составить акт о некондиционном товаре и заменить партию."", ""ИСХОДЯЩЕЕ ПИСЬМО. В адрес ООО 'Металл-Поставка'. Направляем претензию по факту поставки ржавого листового проката (марка ст3, 10 мм). Требуем составить акт о некондиционном товаре и заменить партию."", ""ИСХОДЯЩЕЕ ПИСЬМО. В адрес ООО 'Металл-Поставка'. Направляем претензию по факту поставки ржавого листового проката (марка ст3, 10 мм). Требуем составить акт о некондиционном товаре и заменить партию.""]"
13,28,13_просим_возможность_масла_завода,"['просим', 'возможность', 'масла', 'завода', 'пресса', 'исходящее', 'письмо', 'п6330', 'рассмотреть', 'сроки']","['просим', 'масла', 'пресса', 'директору завода', 'исходящее письмо', 'письмо', 'исходящее', 'письмо директору', 'сроки', 'литров', 'просим рассмотреть', 'изготовления', 'литров масла', 'уплотнений', 'нашим', 'по нашим', 'завода', 'возможность изготовления', 'рассмотреть возможность', 'возможность', 'прессового', 'сталь', 'рассмотреть', 'требуется закупка', 'протечке масла', 'сообщаю протечке', 'гидросистеме', 'уплотнений литров', 'набора уплотнений', 'масла гидросистеме']","[""ИСХОДЯЩЕЕ ПИСЬМО. Директору завода 'Пресс-Маш'. Просим рассмотреть возможность изготовления запасных частей (гидроцилиндр) для пресса П6330 по нашим эскизам. Просим уточнить сроки."", 'СЛУЖЕБНАЯ ЗАПИСКА. Главному инженеру. От нач. участка гидравлики. Сообщаю о протечке масла в гидросистеме листогибочного пресса Amada. Требуется закупка набора уплотнений и 100 литров масла марки Shell Tellus.', 'СЛУЖЕБНАЯ ЗАПИСКА. Главному инженеру. От нач. участка гидравлики. Сообщаю о протечке масла в гидросистеме листогибочного пресса Amada. Требуется закупка набора уплотнений и 100 литров масла марки Shell Tellus.']"
14,23,14_пдо_из_информирую_заказа,"['пдо', 'из', 'информирую', 'заказа', 'дня', 'задержке', 'сведения', 'довожу', 'участка', 'рабочих']","['пдо от', 'из за', 'нач пдо', 'пдо', 'из', 'информирую', 'заказа', 'дня', 'рабочих дня', 'информирую задержке', 'записка нач', 'сведения что', 'задержке', 'сведения', 'довожу', 'довожу до', 'до сведения', 'участка', 'что из', 'рабочих', 'заготовок', 'литья', 'что', 'от мастера', 'валов', 'ленточнопильного', 'ленточнопильного станка', 'участка информирую', 'сдвигается', 'сдвигается на']","['СЛУЖЕБНАЯ ЗАПИСКА. Нач. ПДО. От мастера мех. участка. Информирую о задержке изготовления валов из-за неисправности ленточнопильного станка. Срок сдачи заказа сдвигается на два рабочих дня.', 'СЛУЖЕБНАЯ ЗАПИСКА. Нач. ПДО. От мастера участка сборки. Довожу до сведения, что из-за брака литья (корпус насоса) выполнение заказа №88 задерживается на 4 рабочих дня. Прошу уведомить заказчика.', 'СЛУЖЕБНАЯ ЗАПИСКА. Нач. ПДО. От мастера участка сборки. Довожу до сведения, что из-за брака литья (корпус насоса) выполнение заказа №88 задерживается на 4 рабочих дня. Прошу уведомить заказчика.']"
15,23,15_сиз_мастерам_органов_усилении,"['сиз', 'мастерам', 'органов', 'усилении', 'защитных', 'обеспечить', 'выдачи', 'средств', 'защиты', 'порядке']","['сиз', 'мастерам', 'органов', 'об усилении', 'усилении контроля', 'усилении', 'контроля за', 'обеспечить', 'защитных', 'выдачи', 'порядке выдачи', 'средств', 'за использованием', 'сиз органов', 'приказ порядке', 'порядке', 'приказ об', 'защиты', 'использованием', 'контроля', 'выдачи защитных', 'об', 'органов дыхания', 'средств защиты', 'персоналом', 'дыхания', 'респираторов', 'смен', 'приказ', 'нормам']","['ПРИКАЗ №760. Об усилении контроля за использованием СИЗ органов дыхания в литейном цехе. Мастерам смен обеспечить обязательное ношение респираторов персоналом при проведении операций выбивки опок.', 'ПРИКАЗ №1760. Об усилении контроля за использованием респираторов на участке шлифовки. Мастерам смен обеспечить обязательное ношение СИЗ органов дыхания персоналом в течение всего рабочего времени.', 'ПРИКАЗ №1160. Об усилении контроля за использованием средств защиты органов слуха на участке холодной высадки. Мастерам обеспечить обязательное ношение противошумных наушников персоналом в течение всей смены.']"
16,22,16_механику_наблюдается_главному_ремней,"['механику', 'наблюдается', 'главному', 'ремней', 'работе', 'замена', 'проскальзывание', 'станка', 'мастера', 'требуется']","['механику от', 'главному механику', 'механику', 'наблюдается', 'записка главному', 'главному', 'от мастера', 'требуется замена', 'ремней', 'работе', 'замена', 'наблюдается проскальзывание', 'мастера цеха', 'проскальзывание', 'мастера', 'станка', 'от механика', 'требуется', 'цеха сообщаю', 'цеха', 'ремней на', 'сообщаю', 'инв', 'механика цеха', 'при работе', 'цеха требуется', 'замена клиновых', 'клиновых', 'клиновых ремней', 'механика']","['СЛУЖЕБНАЯ ЗАПИСКА. Главному механику. От механика цеха №5. Требуется замена клиновых ремней на компрессорной установке №2. Наблюдается проскальзывание и потеря производительности. Текущий остаток ремней на складе отсутствует.', 'СЛУЖЕБНАЯ ЗАПИСКА. Главному механику. От механика цеха №5. Требуется замена клиновых ремней на компрессорной установке №2. Наблюдается проскальзывание и потеря производительности. На складе ремни отсутствуют.', 'СЛУЖЕБНАЯ ЗАПИСКА. Главному механику. От механика цеха №5. Требуется замена клиновых ремней на компрессорной установке №2. Наблюдается проскальзывание и потеря производительности системы.']"
17,21,17_взыскании_дисциплинарном_объявить_нарушение,"['взыскании', 'дисциплинарном', 'объявить', 'нарушение', 'за', 'правил', 'петрову', 'замечание', 'работу', 'выговор']","['взыскании за', 'приказ дисциплинарном', 'дисциплинарном взыскании', 'дисциплинарном', 'взыскании', 'объявить', 'за нарушение', 'нарушение', 'за', 'нарушение правил', 'за работу', 'правил', 'петрову', 'замечание', 'объявить замечание', 'работу', 'выговор', 'премии', 'премии за', 'без', 'текущий месяц', 'за текущий', 'месяц', 'месяц приказ', 'объявить выговор', 'работу на', 'станке', 'труда за', 'лишить премии', 'лишить']","['ПРИКАЗ №1895. О дисциплинарном взыскании за нарушение правил охраны труда. За работу на сверлильном станке в перчатках, объявить замечание оператору Петрову И.И. и лишить премии за текущий месяц.', 'ПРИКАЗ №2095. О дисциплинарном взыскании за нарушение правил охраны труда. За работу на сверлильном станке в перчатках, объявить замечание оператору Петрову И.И. и лишить премии за текущий месяц.', 'ПРИКАЗ №1695. О дисциплинарном взыскании за нарушение правил охраны труда. За работу на сверлильном станке в перчатках, объявить замечание оператору Петрову И.И. и лишить премии за текущий месяц.']"
18,22,18_инструктажа_всем_правилам_пройти,"['инструктажа', 'всем', 'правилам', 'пройти', 'проверку', 'внепланового', 'проведении', 'работы', 'знаний', 'связи']","['инструктажа по', 'инструктажа', 'всем', 'правилам', 'по правилам', 'правилам работы', 'пройти', 'проверку', 'внепланового инструктажа', 'приказ проведении', 'проведении внепланового', 'внепланового', 'работы', 'проведении', 'до приказ', 'пройти проверку', 'проверку знаний', 'знаний', 'связи', 'до', 'провести проверку', 'всем сотрудникам', 'электроинструментом', 'мастерам провести', 'ушм', 'цехе всем', 'приказ', 'цехе', 'всем мастерам', 'эксплуатации']","['ПРИКАЗ №910. О проведении внепланового инструктажа по правилам работы на высоте. В связи с началом работ по ремонту кровли производственного корпуса, всем сотрудникам строительного участка пройти проверку знаний и получить наряды-допуска.', 'ПРИКАЗ №1810. О проведении внепланового инструктажа по правилам работы с переносным электроинструментом. В связи с зафиксированным случаем работы без защитных кожухов на УШМ, всем мастерам провести проверку наличия защиты до 18.11.', 'ПРИКАЗ №1410. О проведении внепланового инструктажа по правилам работы на высоте. В связи с началом ремонта кровли, всем сотрудникам строительного участка пройти проверку знаний и получить наряды-допуска.']"
19,21,19_спецодежды_выдачи_порядке_выдачу,"['спецодежды', 'выдачи', 'порядке', 'выдачу', 'сотрудникам', 'зимней', 'выдать', 'начать', 'утепленных', 'неотапливаемых']","['спецодежды', 'порядке выдачи', 'выдачи', 'приказ порядке', 'порядке', 'выдачу', 'сотрудникам', 'выдачи зимней', 'зимней спецодежды', 'зимней', 'спецодежды сотрудникам', 'начать выдачу', 'выдать', 'начать', 'утепленных', 'выдачу утепленных', 'неотапливаемых', 'выдачи спецодежды', 'возложить на', 'возложить', 'выдать комплекты', 'согласно', 'комплекты', 'приказ', 'нормам', 'контроль', 'спецодежды для', 'теплых', 'жилетов', 'утепленных курток']","['ПРИКАЗ №1585. О порядке выдачи зимней спецодежды сотрудникам заготовительного участка. Начать выдачу утепленных костюмов и обуви с 01.11. Контроль за получением возложить на мастера участка.', 'ПРИКАЗ №1485. О порядке выдачи зимней спецодежды. С 15.11 начать выдачу утепленных курток сотрудникам, работающим на открытых площадках и неотапливаемых складах.', 'ПРИКАЗ №985. О порядке выдачи зимней спецодежды. С 15.11 начать выдачу утепленных курток и брюк сотрудникам, работающим на открытых площадках и неотапливаемых складах, согласно ведомости.']"
20,42,20_комиссии_состояния_проверке_создании,"['комиссии', 'состояния', 'проверке', 'создании', 'путей', 'подкрановых', 'провести', 'по', 'приказ', 'балок']","['создании комиссии', 'состояния', 'комиссии по', 'приказ создании', 'создании', 'комиссии', 'балок', 'проверке состояния', 'по проверке', 'проверке', 'провести', 'состояния подкрановых', 'подкрановых', 'до', 'провести визуальный', 'осмотр', 'визуальный', 'предмет', 'на предмет', 'фундаментов', 'подкрановых балок', 'фундаментов под', 'визуальный осмотр', 'балок цехе', 'приказ', 'всех', 'по', 'цехе', 'замеры сопротивления', 'заземления во']","['ПРИКАЗ №1401. О создании комиссии по проверке состояния подкрановых путей в цехе №5. В связи с плановым осмотром Ростехнадзора, ПРИКАЗЫВАЮ: 1. Провести нивелировку путей до 15.11. 2. Главному механику подготовить паспорта на все ГПМ пролета.', 'ПРИКАЗ №2050. О создании комиссии по проверке состояния подкрановых балок в цехе №3. Провести визуальный осмотр узлов крепления рельсов к балкам на предмет ослабления болтовых соединений. Срок исполнения — 25.12.', 'ПРИКАЗ №1050. О создании комиссии по проверке состояния подкрановых балок в цехе №1. Провести визуальный осмотр и ультразвуковой контроль сварных швов балок на предмет выявления усталостных трещин. Срок — до 30.11.']"
21,26,21_утвердить_об_дежурства_сантехников,"['утвердить', 'об', 'дежурства', 'сантехников', 'итр', 'дни', 'график', 'организации', 'дежурств', 'выходные']","['приказ об', 'утвердить', 'утвердить график', 'об', 'организации дежурства', 'дежурства', 'об организации', 'сантехников', 'график', 'дни', 'организации', 'выходные дни', 'дежурств', 'график дежурств', 'выходные', 'дни утвердить', 'период', 'службы эксплуатации', 'системе отопления', 'сантехников выходные', 'отопления ответственный', 'список сотрудников', 'утвердить список', 'на ноябрь', 'ноябрь для', 'начальник службы', 'эксплуатации приказ', 'ноябрь', 'приказ', 'отопления']","['ПРИКАЗ №1265. Об организации дежурства сантехников в выходные дни. Утвердить график на ноябрь для предотвращения аварийных ситуаций в системе отопления. Ответственный — начальник службы эксплуатации.', 'ПРИКАЗ №1865. Об организации дежурства слесарей-сантехников в выходные дни. Утвердить график дежурств на ноябрь для оперативного устранения возможных порывов в системе отопления. Ответственный — нач. службы эксплуатации.', 'ПРИКАЗ №1665. Об организации дежурства слесарей-сантехников в выходные дни. Утвердить график дежурств на ноябрь для оперативного устранения возможных порывов в системе отопления. Ответственный — начальник службы эксплуатации.']"
22,19,22_качеству_необходимости_сообщаю_метрологической,"['качеству', 'необходимости', 'сообщаю', 'метрологической', 'закупки', 'отк', 'поверки', 'директору', 'износ', 'имеет']","['качеству от', 'по качеству', 'качеству', 'необходимости', 'сообщаю необходимости', 'записка директору', 'директору по', 'сообщаю', 'метрологической службы', 'метрологической', 'нач метрологической', 'необходимости закупки', 'директору', 'закупки', 'отк', 'нач отк', 'поверки', 'службы сообщаю', 'износ', 'имеет', 'от нач', 'набора', 'отк сообщаю', 'образцов', 'служебная записка', 'служебная', 'записка', 'службы', 'набор', 'по']","['СЛУЖЕБНАЯ ЗАПИСКА. Директору по качеству. От нач. метрологической службы. Сообщаю о необходимости плановой поверки 15 манометров высокого давления, установленных на гидростанциях прессов. Срок поверки истекает 01.12. Прошу согласовать счет ЦСМ.', ""СЛУЖЕБНАЯ ЗАПИСКА. Директору по качеству. От нач. метрологической службы. Сообщаю о необходимости закупки стандартных образцов для настройки ультразвукового дефектоскопа 'Пеленг'. Текущие образцы имеют недопустимый износ."", ""СЛУЖЕБНАЯ ЗАПИСКА. Директору по качеству. От нач. метрологической службы. Сообщаю о необходимости закупки стандартных образцов для настройки ультразвукового дефектоскопа 'Пеленг'. Текущие образцы имеют недопустимый износ рабочих поверхностей.""]"
