id,document_text
23,СЛУЖЕБНАЯ ЗАПИСКА. Директору по производству. От главного сварщика. Требуется закупка 500 кг сварочной проволоки Св-08Г2С. Остатки на складе не обеспечивают потребность цеха на следующую неделю.
24,ПРИКАЗ №150. О запрете курения на территории предприятия. Вне специально отведенных мест курение строго запрещено. Мастерам цехов обеспечить контроль. Нарушителей привлекать к дисциплинарной ответственности.
25,СЛУЖЕБНАЯ ЗАПИСКА. Начальнику ОКС. От нач. мех. цеха. В пролете Б обнаружена течь в кровле. Вода попадает на электрощитовую. Прошу принять срочные меры по ремонту во избежание короткого замыкания.
26,"ПРИКАЗ №155. О назначении комиссии по приемке металлолома. Назначить комиссию для оценки объема и категории лома, образовавшегося после демонтажа старой линии окраски. Председатель - зам. дир. по АХЧ."
27,ИСХОДЯЩЕЕ ПИСЬМО. Руководителю 'ТехноПарк'. Сообщаем о готовности к проведению пусконаладочных работ на вашей территории. Просим обеспечить доступ наших специалистов и наличие электроэнергии 380В.
28,СЛУЖЕБНАЯ ЗАПИСКА. Директору по персоналу. От мастера смены. Сообщаю о невыходе на работу слесаря Козлова В.В. без объяснения причин. Акт о прогуле составлен в присутствии двух свидетелей.
29,"ПРИКАЗ №160. О выдаче спецодежды. В связи с наступлением зимнего периода, ПРИКАЗЫВАЮ: Выдать утепленные куртки и обувь рабочим открытых площадок и неотапливаемых складов согласно нормам выдачи."
30,СЛУЖЕБНАЯ ЗАПИСКА. Главному энергетику. От нач. компрессорной станции. Произошел аварийный останов компрессора №2. Требуется замена подшипникового узла. Прошу выделить слесарную бригаду для ремонта.
31,"ПРИКАЗ №165. Об изменении режима работы столовой. Установить обеденный перерыв для цеха №2 с 12:00 до 12:45, для цеха №4 с 13:00 до 13:45 для устранения очередей и соблюдения графиков производства."
32,ИСХОДЯЩЕЕ ПИСЬМО. Поставщику подшипников 'Сфера-М'. Требуем заменить партию подшипников 6205 в количестве 100 шт. по причине несоответствия класса точности заявленному в паспорте изделия.
33,СЛУЖЕБНАЯ ЗАПИСКА. В отдел маркетинга. От конструкторского бюро. Направляем обновленные габаритные чертежи изделия 'Редуктор Р-200' для включения в новый каталог продукции предприятия.
34,ПРИКАЗ №170. О проведении учебной пожарной тревоги. 25.10 в 11:00 провести эвакуацию персонала из административного здания. Ответственным за эвакуацию назначить начальника службы охраны.
35,СЛУЖЕБНАЯ ЗАПИСКА. Финансовому директору. От нач. ПЭО. Прошу согласовать перераспределение бюджета со статьи 'Канцтовары' на статью 'Расходные материалы для оргтехники' в связи с повышенным расходом тонера.
36,ПРИКАЗ №175. О закреплении автотранспорта. Закрепить автомобиль ГАЗель (гос. номер А123АА) за транспортным отделом. Ответственным за техническое состояние назначить водителя-экспедитора Романова.
37,ИСХОДЯЩЕЕ ПИСЬМО. В мэрию города. Уведомляем о проведении субботника на прилегающей к заводу территории 30.10. Просим организовать своевременный вывоз собранного мусора городской службой ЖКХ.
38,СЛУЖЕБНАЯ ЗАПИСКА. Главному технологу. От нач. участка ЧПУ. Для обработки новой детали 'Фланец' требуется закупка твердосплавных пластин марки Sandvik. Прошу утвердить инструментальную карту.
39,"ПРИКАЗ №180. О поощрении за рационализаторское предложение. За внедрение приспособления для ускоренной центровки деталей, ПРИКАЗЫВАЮ: Выплатить инженеру Белову вознаграждение в размере 10 000 руб."
40,СЛУЖЕБНАЯ ЗАПИСКА. Начальнику охраны. От зав. складом металлов. Прошу разрешить выезд автомобиля КАМАЗ (В456ВВ) после 20:00 для доставки срочного груза на объект заказчика.
41,"ПРИКАЗ №185. О создании рабочей группы по внедрению бережливого производства. Включить в группу начальников цехов №1, 3, 5. Руководителем группы назначить зам. директора по развитию."
42,ИСХОДЯЩЕЕ ПИСЬМО. Инспекции по труду. Направляем отчет о выполнении предписания №56 от 10.08. Все выявленные нарушения в области освещенности рабочих мест на малярном участке устранены.
43,СЛУЖЕБНАЯ ЗАПИСКА. В юридический отдел. От отдела сбыта. Прошу подготовить дополнительное соглашение к договору с ООО 'Вектор' об изменении реквизитов нашей организации с 01.11.2023.
44,ПРИКАЗ №190. Об организации обучения по охране труда. Направить мастеров и руководителей подразделений на обучение в специализированный центр с 05.11 по 07.11 с отрывом от производства.
45,СЛУЖЕБНАЯ ЗАПИСКА. Главному механику. От мастера котельной. Сообщаю о необходимости промывки теплообменников перед началом отопительного сезона. Требуется закупка реагентов согласно спецификации.
46,ПРИКАЗ №195. О назначении инвентаризационной комиссии по ОС. Провести проверку наличия станков и оборудования в цехе №2. Срок предоставления ведомостей - до 20.11. Ответственный - гл. бухгалтер.
47,ИСХОДЯЩЕЕ ПИСЬМО. Директору ООО 'ТрансСервис'. Требуем предоставить график движения транспорта на ноябрь для согласования с планом отгрузки крупногабаритных металлоконструкций.
48,СЛУЖЕБНАЯ ЗАПИСКА. Директору по ИТ. От нач. бухгалтерии. Прошу обновить антивирусное ПО на компьютерах расчетного отдела. Зафиксированы попытки несанкционированного доступа к сети.
49,"ПРИКАЗ №200. О дисциплинарном взыскании. За нарушение правил эксплуатации грузоподъемного механизма, повлекшее повреждение груза, объявить выговор стропальщику Петрову Д.А. с лишением премии."
50,СЛУЖЕБНАЯ ЗАПИСКА. Нач. ОМТС. От нач. электроучастка. Прошу закупить 200 метров кабеля ВВГ 3х2.5 для монтажа новой линии освещения на складе №4. Проводка в аварийном состоянии.
51,"ПРИКАЗ №201. О назначении комиссии по проверке знаний ПТЭЭП. В целях обеспечения электробезопасности, ПРИКАЗЫВАЮ: 1. Провести аттестацию электротехнического персонала до 15.11. 2. Председатель комиссии — главный энергетик Соколов А.Д."
52,СЛУЖЕБНАЯ ЗАПИСКА. Директору по логистике. От нач. склада металлопроката. Сообщаю о поломке вилочного погрузчика (инв. №402). Требуется замена гидравлического насоса. Прошу согласовать срочный ремонт в сервисном центре.
53,"ИСХОДЯЩЕЕ ПИСЬМО №89/11. Руководителю ОАО 'РЖД'. Просим предоставить информацию о дислокации вагона №56894412 с сырьем (кокс), направленного в адрес нашего предприятия по договору поставки №312 от 05.10.2023."
54,"ПРИКАЗ №205. О внедрении системы контроля доступа (СКУД). В целях усиления пропускного режима на территории завода, ПРИКАЗЫВАЮ: 1. Ввести в эксплуатацию турникеты на южной проходной с 01.12. 2. Оформить пропуска нового образца."
55,СЛУЖЕБНАЯ ЗАПИСКА. Главному конструктору. От нач. производства. Прошу внести изменения в чертеж КМ-44 (рама основания). Текущая конструкция затрудняет доступ к крепежным узлам при сборке агрегата.
56,ПРИКАЗ №210. О проведении ежегодного медицинского осмотра. Направить персонал цехов №1 и №2 (согласно списку) в МСЧ-5 для прохождения медосмотра. Срок — с 10.11 по 20.11. Сохранить средний заработок на время обследования.
57,ИСХОДЯЩЕЕ ПИСЬМО. Директору ООО 'Инструмент-Плюс'. Сообщаем о готовности принять партию твердосплавных фрез (заказ №455). Просим осуществить доставку до ворот цеха №4 в четверг до 12:00.
58,СЛУЖЕБНАЯ ЗАПИСКА. В отдел снабжения. От мастера термического участка. Необходимо закупить 200 кг защитной пасты для предотвращения обезуглероживания сталей при нагреве в камерных печах.
59,ПРИКАЗ №215. О создании штаба по подготовке к паводковому периоду. Назначить ответственных за проверку дренажных систем и ливневой канализации на территории предприятия. Отчет о готовности — до 25.11.
60,СЛУЖЕБНАЯ ЗАПИСКА. Нач. отдела кадров. От нач. охраны. Довожу до сведения факт нахождения сотрудника Сбруева И.И. на рабочем месте в состоянии алкогольного опьянения. Акт медицинского освидетельствования прилагается.
61,ПРИКАЗ №220. О выводе из эксплуатации морально устаревшего оборудования. Списать с баланса токарно-винторезный станок мод. 1К62 (инв. №12). Комиссии организовать демонтаж и передачу узлов на склад запчастей.
62,ИСХОДЯЩЕЕ ПИСЬМО. В страховую компанию 'Альянс'. Направляем пакет документов по страховому случаю (повреждение цеха №2 градом). Просим провести оценку ущерба и назначить дату выезда эксперта.
63,СЛУЖЕБНАЯ ЗАПИСКА. Главному бухгалтеру. От нач. транспортного отдела. Прошу выделить денежные средства на оплату госпошлин за перерегистрацию трех единиц спецтехники в органах Гостехнадзора.
64,ПРИКАЗ №225. О соблюдении чистоты на рабочих местах. Всем мастерам обеспечить уборку стружки и проливов масла за 15 минут до окончания смены. Начальнику АХЧ организовать вывоз ТБО по графику.
65,СЛУЖЕБНАЯ ЗАПИСКА. Директору по развитию. От инженера по качеству. На текущем этапе сборки выявлено несоответствие допуска по соосности валов. Требуется приобретение лазерного центровщика для повышения точности.
66,ПРИКАЗ №230. О назначении дежурных по заводоуправлению в праздничные дни. Утвердить график дежурств руководящего состава на период с 04.11 по 06.11. Ответственность за связь и оперативность — дежурный диспетчер.
67,ИСХОДЯЩЕЕ ПИСЬМО. Руководителю 'ЭкоПроект'. Просим разработать программу производственного экологического контроля (ПЭК) на следующий календарный год с учетом ввода в строй новой линии гальваники.
68,СЛУЖЕБНАЯ ЗАПИСКА. Нач. ИТ-отдела. От гл. технолога. Требуется переустановка ПО 'AutoCAD' на рабочей станции №14 в связи с критической ошибкой лицензии. Прошу направить специалиста в течение дня.
69,ПРИКАЗ №235. О премировании за экономию энергоресурсов. По результатам месяца цех №5 показал снижение потребления электроэнергии на 8%. Премировать коллектив цеха в размере 5% от ФОТ.
70,СЛУЖЕБНАЯ ЗАПИСКА. Нач. службы ГО и ЧС. От мастера котельной. Требуется доукомплектовать щит противопожарного инвентаря: не хватает 2 огнетушителей ОП-5 и одного багра. Прошу обеспечить наличие.
71,"ПРИКАЗ №240. О проведении плановой аттестации ИТР. Утвердить список сотрудников, подлежащих аттестации в IV квартале. Разработать перечень вопросов по специализации до 15.11."
72,ИСХОДЯЩЕЕ ПИСЬМО. Директору ОАО 'Металлург'. Выражаем благодарность за оперативную поставку листа Х12МФ. Качество материала соответствует ГОСТ. Надеемся на дальнейшее долгосрочное сотрудничество.
73,СЛУЖЕБНАЯ ЗАПИСКА. Директору по производству. От нач. инструментального цеха. Из-за выхода из строя заточного станка образовалась очередь на переточку резцов. Прошу разрешить сверхурочную работу мастеру Иванову.
74,"ПРИКАЗ №245. Об утверждении норм расхода ветоши. В целях оптимизации затрат, установить лимит выдачи обтирочного материала: 0.5 кг на одного станочника в неделю. Контроль возложить на кладовщиков цехов."
75,СЛУЖЕБНАЯ ЗАПИСКА. Нач. юридического отдела. От менеджера по продажам. Прошу проверить надежность контрагента ООО 'ПромСнаб-М' перед заключением договора на поставку крупной партии метизов.
76,ПРИКАЗ №250. О проведении проверки заземляющих устройств. Главному энергетику организовать замеры сопротивления заземления во всех производственных корпусах. Срок исполнения — до конца текущего месяца.
77,"ИСХОДЯЩЕЕ ПИСЬМО. В редакцию газеты 'Вестник Машиностроения'. Просим опубликовать объявление о наборе сотрудников по специальностям: токарь 5 разряда, фрезеровщик, оператор станков с ЧПУ."
78,СЛУЖЕБНАЯ ЗАПИСКА. Главному инженеру. От нач. участка вентиляции. Сообщаю о критическом износе фильтров в системе очистки воздуха малярного цеха. Дальнейшая работа без замены угрожает здоровью персонала.
79,ПРИКАЗ №255. О назначении наставников для молодых специалистов. Закрепить выпускников колледжа за опытными мастерами. Установить надбавку за наставничество в размере 3000 рублей в месяц.
80,СЛУЖЕБНАЯ ЗАПИСКА. В отдел маркетинга. От нач. ОТК. Предлагаю добавить в паспорт изделия информацию о расширенной гарантии (24 месяца) при условии проведения ТО сертифицированными специалистами.
81,"ПРИКАЗ №260. О запрете использования личных электронагревательных приборов. В целях обеспечения пожарной безопасности, запретить эксплуатацию кипятильников и обогревателей в бытовых помещениях цехов."
82,ИСХОДЯЩЕЕ ПИСЬМО. Руководителю ГИБДД. Просим согласовать маршрут перевозки негабаритного груза (колонна ректификационная) по дорогам общего пользования 12.11.2023. Схема проезда прилагается.
83,СЛУЖЕБНАЯ ЗАПИСКА. Директору по персоналу. От нач. цеха №3. Прошу рассмотреть кандидатуру слесаря-сборщика Васильева А.П. на вакантную должность мастера смены в связи с наличием профильного образования.
84,ПРИКАЗ №265. Об организации дежурства сантехников в отопительный сезон. Установить круглосуточное дежурство слесарей-сантехников на узлах учета тепла. Ответственный — начальник службы эксплуатации зданий.
85,СЛУЖЕБНАЯ ЗАПИСКА. Нач. ОМТС. От нач. участка упаковки. Срочно требуется закупка 10 рулонов стрейч-пленки и 50 метров воздушно-пузырьковой пленки для подготовки продукции к отгрузке на экспорт.
86,ПРИКАЗ №270. О проведении экологического аудита. Создать комиссию для проверки условий хранения отходов 1 и 2 классов опасности. По результатам составить акт и план устранения замечаний.
87,ИСХОДЯЩЕЕ ПИСЬМО. Директору Банка 'Развитие'. Просим предоставить справку об оборотах по расчетному счету за последние 6 месяцев для участия в государственном тендере на поставку оборудования.
88,СЛУЖЕБНАЯ ЗАПИСКА. Нач. ПДО. От мастера мех. участка. Информирую о задержке изготовления валов из-за неисправности ленточнопильного станка. Срок сдачи заказа сдвигается на два рабочих дня.
89,"ПРИКАЗ №275. О введении в действие инструкции по работе с ГПМ. Всем крановщикам и стропальщикам пройти внеплановый инструктаж. Запретить подъем грузов, превышающих паспортную грузоподъемность крана."
90,"СЛУЖЕБНАЯ ЗАПИСКА. Главному механику. От механика цеха №1. Необходим ремонт направляющих станка 16К20. Наблюдается дробление при чистовом точении, что приводит к браку изделий."
91,ПРИКАЗ №280. О назначении комиссии по списанию спецодежды. Создать комиссию для оценки износа зимних комплектов одежды сотрудников склада. Пришедшие в негодность вещи утилизировать в установленном порядке.
92,"ИСХОДЯЩЕЕ ПИСЬМО. В адрес ООО 'СпецТехСервис'. Направляем заявку на проведение поверки контрольно-измерительных приборов (манометры, термопары) согласно прилагаемому графику."
93,СЛУЖЕБНАЯ ЗАПИСКА. Директору по закупкам. От нач. малярного участка. Прошу закупить 500 литров грунтовки ГФ-021 серого цвета. Текущий остаток не позволяет начать окраску крупной партии рам.
94,"ПРИКАЗ №285. О порядке выдачи ключей от производственных помещений. Утвердить перечень лиц, имеющих право получения ключей на вахте. Запретить передачу ключей третьим лицам без разрешения мастера."
95,СЛУЖЕБНАЯ ЗАПИСКА. Нач. службы охраны труда. От инженера-электрика. При осмотре щитовой №5 выявлено отсутствие диэлектрических ковриков. Прошу обеспечить рабочее место необходимыми средствами защиты.
96,ПРИКАЗ №290. О проведении конкурса 'Лучший по профессии'. Провести конкурс среди сварщиков завода 15.12. Победителям предусмотреть денежные премии и почетные грамоты от руководства.
97,ИСХОДЯЩЕЕ ПИСЬМО. Руководителю таможенного поста. Направляем пояснения по кодам ТН ВЭД для экспортируемого оборудования (дробильная установка). Техническое описание и чертежи прилагаются.
98,"СЛУЖЕБНАЯ ЗАПИСКА. Директору по ИТ. От нач. охраны. Прошу заменить мониторы на посту №1 (проходная). Изображение с камер стало нечетким, что мешает идентификации лиц и номеров машин."
99,"ПРИКАЗ №295. Об изменении состава инвентаризационной комиссии. В связи с болезнью бухгалтера Петровой, включить в состав комиссии по проверке склада готовой продукции экономиста Соколову О.В."
100,"СЛУЖЕБНАЯ ЗАПИСКА. Главному технологу. От нач. цеха №4. Предлагаю рассмотреть замену операции фрезерования на шлифование для детали 'Планка', что позволит сократить время обработки на 15%."
101,"ПРИКАЗ №301. О назначении комиссии по проверке готовности к зиме. В связи с завершением работ по утеплению контуров цехов, ПРИКАЗЫВАЮ: 1. Провести осмотр систем отопления и остекления до 01.11. 2. Составить акт готовности корпусов №1 и №2."
102,СЛУЖЕБНАЯ ЗАПИСКА. Директору по закупкам. От нач. инструментального склада. Сообщаю о критическом снижении запаса сверл диаметром 10.5 мм (Р6М5). Прошу срочно закупить партию в количестве 200 шт. для обеспечения работы участка ЧПУ.
103,ИСХОДЯЩЕЕ ПИСЬМО №112/05. Руководителю АО 'СпецМаш'. Уважаемые коллеги! Благодарим за предоставленные образцы смазочно-охлаждающей жидкости. По результатам испытаний СОЖ марки 'ТехноМол' рекомендована к применению в наших цехах.
104,"ПРИКАЗ №305. О проведении внеплановой аттестации сварщиков. В связи с участившимися случаями дефектов сварных швов на сосудах под давлением, ПРИКАЗЫВАЮ: 1. Провести аттестацию персонала до 10.11. 2. Отстранить от работ лиц, не сдавших зачет."
105,СЛУЖЕБНАЯ ЗАПИСКА. Главному технологу. От нач. ОТК. При контроле партии фланцев (заказ №77) выявлено несоблюдение допуска параллельности. Прошу проверить юстировку приспособления на станке мод. 6Р12.
106,ПРИКАЗ №310. О вводе в действие инструкции по обращению с отходами. Утвердить регламент сбора и хранения отработанного масла и ветоши. Ответственность за наличие промаркированной тары возложить на мастеров участков.
107,ИСХОДЯЩЕЕ ПИСЬМО. Директору ООО 'ПромВент'. Просим направить специалистов для проведения ежегодного технического обслуживания системы приточно-вытяжной вентиляции в гальваническом отделении 15.11.
108,СЛУЖЕБНАЯ ЗАПИСКА. В отдел кадров. От нач. цеха №4. Прошу подготовить документы на совмещение профессий для токаря Иванова С.П. (дополнительная работа — стропальщик) в связи с производственной необходимостью.
109,ПРИКАЗ №315. О назначении ответственных за эксплуатацию грузоподъемных кранов. Назначить инженера Сидорова А.А. ответственным за исправное состояние мостовых кранов в пролете №3. Провести проверку журналов ТО.
110,СЛУЖЕБНАЯ ЗАПИСКА. Нач. службы безопасности. От завскладом готовой продукции. Прошу усилить освещение на площадке отгрузки №4. В вечернее время видимость недостаточна для безопасной работы автокрана.
111,ПРИКАЗ №320. О проведении инвентаризации драгоценных металлов. Создать комиссию для проверки наличия напаек на резцах и контактов в пусковой аппаратуре. Срок — с 20.11 по 25.11. Председатель — зам. гл. инженера.
112,ИСХОДЯЩЕЕ ПИСЬМО. В адрес ТК 'Груз-Авто'. Требуем пояснений по факту срыва сроков подачи транспорта под погрузку металлоконструкций 25.10. Просим предоставить график движения машин на следующую неделю.
113,"СЛУЖЕБНАЯ ЗАПИСКА. Главному механику. От нач. участка термообработки. Необходима срочная замена термопары в печи П-45. Текущие показания прибора имеют погрешность более 20 градусов, что ведет к браку закалки."
114,"ПРИКАЗ №325. О соблюдении правил ношения СИЗ. Зафиксированы случаи работы без защитных очков на заточном участке. ПРИКАЗЫВАЮ: Лишать премии мастеров смен, допустивших нарушение персоналом правил ТБ."
115,СЛУЖЕБНАЯ ЗАПИСКА. Директору по ИТ. От нач. ПДО. Прошу установить на рабочее место экономиста Петровой О.В. специализированное ПО для расчета норм расхода материалов 'ТехноПро'.
116,"ПРИКАЗ №330. О премировании по итогам квартала. За досрочное выполнение государственного оборонного заказа, ПРИКАЗЫВАЮ: Выплатить единовременное вознаграждение сотрудникам сборочного цеха согласно списку."
117,ИСХОДЯЩЕЕ ПИСЬМО. Заводу 'Металлург-Снаб'. Просим предоставить сертификат на партию круга стального 40Х (диаметр 150 мм). Без указанного документа продукция не может быть запущена в производство.
118,СЛУЖЕБНАЯ ЗАПИСКА. Главному бухгалтеру. От нач. ОМТС. Прошу выделить средства на приобретение 100 литров антисептика и защитных масок для сотрудников проходной и административного корпуса.
119,"ПРИКАЗ №335. Об утверждении перечня должностей с ненормированным рабочим днем. В связи со спецификой производства, утвердить список сотрудников (ИТР), которым полагается дополнительный отпуск 3 дня."
120,СЛУЖЕБНАЯ ЗАПИСКА. Нач. транспортного цеха. От нач. склада металлов. Прошу выделить погрузчик грузоподъемностью 5 тонн для перемещения паллет с метизами из зоны выгрузки в зону хранения.
121,ПРИКАЗ №340. О проведении аттестации рабочих мест по условиям труда. Организовать замеры уровня шума и вибрации на кузнечно-прессовом участке. Срок исполнения — до конца текущего месяца. Ответственный — инж. по ОТ.
122,ИСХОДЯЩЕЕ ПИСЬМО. ООО 'Сервис-ЧПУ'. Направляем заявку на диагностику электронной платы управления станка Gildemeister. Оборудование выдает ошибку привода оси Z. Просим прислать сервисного инженера.
123,СЛУЖЕБНАЯ ЗАПИСКА. Директору по производству. От главного сварщика. Информирую о поломке сварочного полуавтомата Kemppi №3. Требуется закупка оригинальной горелки и подающих роликов.
124,"ПРИКАЗ №345. О запрете использования открытого огня. В связи с высокой пожароопасностью, запретить проведение сварочных работ вне специально оборудованных постов без оформления наряда-допуска."
